日付け,終値,始値,高値,安値,前日比%
2018/4/1,17.0025,16.928,17.047,16.8045,0.40%
2018/3/1,16.9354,16.8486,16.9921,16.5139,0.51%
2018/2/1,16.8495,17.3554,17.555,16.6197,-2.97%
2018/1/1,17.365,17.3275,17.4837,17.1015,0.27%
2017/12/1,17.3184,17.0093,17.3413,16.83,1.77%
2017/11/1,17.0179,17.1311,17.309,16.8066,-0.64%
2017/10/1,17.1269,16.922,17.2353,16.8875,1.30%
2017/9/1,16.9072,16.6867,17.1224,16.5765,1.31%
2017/8/1,16.6884,16.3892,16.7764,16.2848,1.81%
2017/7/1,16.391,16.5392,16.8353,16.3734,-1.10%
2017/6/1,16.573,16.2705,16.6597,16.0227,1.88%
2017/5/1,16.2664,16.1388,16.564,15.9917,0.53%
2017/4/1,16.1812,16.1631,16.2242,15.7057,0.04%
2017/3/1,16.1745,16.4158,16.7103,16.0017,-1.50%
2017/2/1,16.4216,16.377,16.7211,16.2318,0.18%
2017/1/1,16.3922,16.8461,17.0433,16.2695,-2.61%
2016/12/1,16.8316,16.6096,17.1089,16.3774,1.27%
2016/11/1,16.6208,15.463,16.6338,14.9615,7.44%
2016/10/1,15.4697,15.1842,15.6105,15.1602,1.84%
2016/9/1,15.1905,15.4782,15.6199,14.9924,-1.90%
2016/8/1,15.4844,15.3745,15.5027,14.9903,0.69%
2016/7/1,15.3788,15.5258,16.0924,14.9493,-1.02%
2016/6/1,15.5369,16.8053,16.8311,14.9835,-7.62%
2016/5/1,16.8178,16.4141,16.9405,16.3002,2.36%
2016/4/1,16.4295,17.4512,17.4573,16.4141,-5.88%
2016/3/1,17.4562,17.1871,17.5563,17.0666,1.52%
2016/2/1,17.1941,18.4068,18.4777,16.8745,-6.60%
2016/1/1,18.4085,18.5168,18.5506,17.6204,-0.65%
2015/12/1,18.5289,19.2367,19.333,18.4721,-3.70%
2015/11/1,19.24,19.0798,19.431,18.9665,0.78%
2015/10/1,19.092,18.8485,19.1598,18.5992,1.26%
2015/9/1,18.8553,19.0095,19.0318,18.6546,-0.82%
2015/8/1,19.0115,19.9684,20.1397,18.1801,-4.75%
2015/7/1,19.959,19.7452,20.0656,19.3874,1.03%
2015/6/1,19.7549,20.0206,20.2888,19.6582,-1.37%
2015/5/1,20.0289,19.2414,20.0737,19.1648,4.08%
2015/4/1,19.2437,19.371,19.4626,19.0908,-0.69%
2015/3/1,19.3782,19.0679,19.536,19.0211,1.63%
2015/2/1,19.0666,18.7905,19.3029,18.6625,1.46%
2015/1/1,18.7928,19.278,19.4543,18.6924,-2.56%
2014/12/1,19.2867,19.3183,19.8162,18.6688,-0.13%
2014/11/1,19.3126,18.3972,19.4265,18.389,5.10%
2014/10/1,18.3758,17.858,18.4037,17.1669,2.87%
2014/9/1,17.8635,16.9328,17.8961,16.9328,5.44%
2014/8/1,16.9411,16.6464,16.9801,16.4827,1.75%
2014/7/1,16.6497,16.3314,16.7037,16.2881,1.94%
2014/6/1,16.3327,16.293,16.4627,16.2778,0.26%
2014/5/1,16.2911,16.3301,16.4608,16.1585,-0.28%
2014/4/1,16.3372,16.5954,16.7706,16.2982,-1.59%
2014/3/1,16.6016,16.5232,16.9413,16.3392,0.21%
2014/2/1,16.567,16.8297,16.9456,16.4691,-1.59%
2014/1/1,16.8348,17.3896,17.429,16.8153,-3.23%
2013/12/1,17.3961,16.8061,17.4043,16.6784,3.47%
2013/11/1,16.813,16.1337,16.8478,16.0283,4.18%
2013/10/1,16.1384,16.0363,16.2309,15.7684,0.57%
2013/9/1,16.0467,16.0694,16.4456,15.9203,0.03%
2013/8/1,16.0414,15.9657,16.3075,15.6466,0.45%
2013/7/1,15.9695,16.1703,16.5589,15.9167,-1.13%
2013/6/1,16.1521,16.357,16.4331,15.2691,-1.39%
2013/5/1,16.3796,15.8013,16.9228,15.7381,3.65%
2013/4/1,15.8029,15.1779,16.17,14.9222,4.17%
